acetylcholine_receptor_agonist,acetylcholine_receptor_antagonist,acetylcholinesterase_inhibitor,adenosine_receptor_agonist,adenosine_receptor_antagonist,adrenergic_receptor_agonist,adrenergic_receptor_antagonist,akt_inhibitor,alk_inhibitor,androgen_receptor_agonist,androgen_receptor_antagonist,anesthetic_-_local,anti-inflammatory,antioxidant,antiprotozoal,apoptosis_stimulant,aromatase_inhibitor,atpase_inhibitor,aurora_kinase_inhibitor,bacterial_30s_ribosomal_subunit_inhibitor,bacterial_50s_ribosomal_subunit_inhibitor,bacterial_cell_wall_synthesis_inhibitor,bacterial_dna_gyrase_inhibitor,bacterial_dna_inhibitor,benzodiazepine_receptor_agonist,bromodomain_inhibitor,calcium_channel_blocker,cannabinoid_receptor_antagonist,cc_chemokine_receptor_antagonist,cdk_inhibitor,chelating_agent,cholesterol_inhibitor,cyclooxygenase_inhibitor,cytochrome_p450_inhibitor,dihydrofolate_reductase_inhibitor,dna_alkylating_agent,dna_inhibitor,dopamine_receptor_agonist,dopamine_receptor_antagonist,egfr_inhibitor,estrogen_receptor_agonist,estrogen_receptor_antagonist,fgfr_inhibitor,flt3_inhibitor,gaba_receptor_agonist,gaba_receptor_antagonist,gamma_secretase_inhibitor,glucocorticoid_receptor_agonist,glutamate_receptor_agonist,glutamate_receptor_antagonist,gsk_inhibitor,hcv_inhibitor,hdac_inhibitor,histamine_receptor_agonist,histamine_receptor_antagonist,hiv_inhibitor,hmgcr_inhibitor,hsp_inhibitor,immunosuppressant,integrin_inhibitor,jak_inhibitor,kit_inhibitor,leukotriene_receptor_antagonist,lipoxygenase_inhibitor,mek_inhibitor,membrane_integrity_inhibitor,monoamine_oxidase_inhibitor,mtor_inhibitor,mucolytic_agent,nfkb_inhibitor,opioid_receptor_agonist,opioid_receptor_antagonist,p38_mapk_inhibitor,parp_inhibitor,pdgfr_inhibitor,phosphodiesterase_inhibitor,pi3k_inhibitor,potassium_channel_activator,potassium_channel_antagonist,ppar_receptor_agonist,progesterone_receptor_agonist,prostanoid_receptor_antagonist,proteasome_inhibitor,protein_kinase_inhibitor,protein_synthesis_inhibitor,radiopaque_medium,raf_inhibitor,retinoid_receptor_agonist,serotonin_receptor_agonist,serotonin_receptor_antagonist,serotonin_reuptake_inhibitor,sigma_receptor_antagonist,sodium_channel_inhibitor,sphingosine_receptor_agonist,src_inhibitor,steroid,tachykinin_antagonist,thymidylate_synthase_inhibitor,topoisomerase_inhibitor,tubulin_inhibitor,tyrosine_kinase_inhibitor,vegfr_inhibitor
g-156,df_g-660,g-160,df_c-87,c_all_max,d_g-388,g-309,clusters_c_all,d_g-159,df_g-438,d_g-46,c_all_max,df_g-187,c_all_max,d_g-734,g-571,c_all_max,df_g-25,g-530,df_g-184,c_all_max,df_g-303,clusters_g_all,df_g-407,c-50,cnt_3,g-351,df_g-736,d_c_max,g-707,df_g-88,g-612,df_g-485,cnt_0,cp_time,df_g-104,g-719,g-707,df_g-81,g-553,df_g-154,g-561,d_g-125,df_g-612,cnt_2,c_all_min,d_c_kurt,df_g-610,g-561,d_c_kurt,c_all_max,c_all_max,cp_time,df_g-650,df_g-65,c_all_max,g-707,cp_dose,g-36,df_g-370,cp_dose,cp_time,df_g-448,clusters_c_all,df_g-370,c_all_min,c_all_max,d_g-641,clusters_df_c,df_g-129,df_g-707,df_g-716,df_g-362,g-276,df_c_min,g-146,df_c-0,df_c_min,clusters_df_c,clusters_d_g,c_all_max,c_all_max,d_g-531,c_all_max,c_all_max,c_all_max,df_g-718,clusters_c,df_g-552,df_g-150,d_c_kurt,cp_dose,df_g-104,cp_dose,g-425,df_g-324,df_g-622,cnt_3,cp_dose,df_g-679,df_g_max_min,df_g-370
c_all_max,g-13,c_all_max,g-360,d_g-558,df_g-399,g-189,cp_time,df_c-15,c_all_max,clusters_c_all,cnt_1,clusters_d_g,df_g-283,df_g-129,d_c_kurt,g-707,g-311,df_g-124,clusters_c_all,d_c_skew,df_g-129,cp_time,d_c_max,df_g-660,g-571,df_g-688,df_g-80,c_all_min,d_g-405,df_g-522,clusters_c,df_g-420,g-558,df_g-754,df_g-432,d_c_std,g-555,g-247,df_g-25,df_g-192,d_c_std,g-132,df_g-344,df_g-3,cp_dose,df_g-9,d_g-352,cp_dose,df_g-407,df_g-592,df_g-537,df_g-741,clusters_c_all,df_g-155,d_g-46,g-576,df_g-715,clusters_df_c,c_all_min,clusters_d_g,g-326,c-74,df_g-101,df_g-425,cp_dose,df_g-757,g-391,df_g-610,g-385,c-89,c_all_min,c_all_max,d_g-525,g-558,df_g-222,df_g-118,df_g-267,df_g-500,cp_time,cp_time,clusters_g,df_g-93,df_g-400,clusters_c_all,df_g-338,g-451,g-45,df_g-9,g-121,df_g-131,c_all_max,df_g-415,df_g-561,df_c_min,df_g-560,clusters_d_c,g-541,g-370,df_g-655,c_all_max,g-707
df_c-94,df_g-105,df_g-448,clusters_g_all,df_g-104,c_all_max,df_g-433,df_c-29,c_all_min,df_c-12,g-238,df_g-610,clusters_g_all,clusters_df_c,df_g-679,g-58,df_g-588,df_g-592,d_c_std,cp_dose,cp_time,clusters_c,df_g-301,c_all_max,df_g-766,g-592,d_g-716,df_g-370,df_g-370,df_g-737,df_g-736,df_g-644,d_g-753,clusters_c_all,cnt_1,df_g-571,g-572,g-726,d_g-729,df_g-162,g-530,g-537,df_g-415,g-582,df_g-263,df_g-707,g-232,c_all_max,g-334,g-746,g-259,cnt_2,df_g-222,clusters_df_c,g-326,cnt_3,df_c-87,df_g-153,g-69,df_g-275,g-452,df_g-612,c_all_kurt,df_g-271,df_g-712,c_all_max,df_g-552,df_g-232,df_g-374,df_g-483,g-14,c-56,g-190,g-370,c_all_min,df_g-28,g-376,cnt_3,df_g-465,d_g-504,g-45,clusters_c,df_g-48,df_g-23,d_g-627,df_g-370,g-399,df_g-56,d_g-350,d_g-716,df_c-14,d_c_kurt,df_g-267,c-29,c_all_min,g-358,clusters_d_g,df_g-707,cnt_0,cnt_3,g-449,d_g-525
df_g-325,df_g-686,g-555,df_g-86,d_g-1,df_g-723,g-55,d_g-684,df_g-637,g-370,c_all_max,g-281,g-522,g-514,d_c_max_kurt,df_g-633,df_g-550,d_g-125,df_g-88,g-302,g-269,df_c_min,d_g-461,clusters_d_c,df_g-104,g-425,g-565,df_g-419,clusters_g,df_g-137,g-323,d_c_max,df_g-155,cp_time,clusters_g_all,clusters_c,d_g-572,df_g-591,d_g-651,g-495,df_g-404,df_g-667,df_g-715,g-254,g-34,g-576,cp_dose,df_g-315,df_g-110,d_g-375,df_c_kurt_skew,g-41,df_g-370,df_g_max_kurt,cp_dose,df_g-84,df_g-586,df_g-713,g-133,df_g-554,g-281,df_g-70,g-107,g-630,df_g-311,df_g-14,df_g-490,clusters_df_c,df_g-652,g-543,clusters_c_all,df_g-370,df_g-714,c_all_max,g-572,df_g-741,df_g-658,c_all_min,g-370,g-707,g-337,g-162,g-161,g-661,df_g-446,g-370,g-748,df_g-500,df_c-1,g-529,df_g-727,df_g-9,cp_dose,df_g-467,df_g-95,df_g-537,df_g-183,d_g-541,g-465,g-270,df_g_max,d_c_kurt
g-541,c_all_max,df_g-35,c_all_min,g-748,df_g-558,g-603,df_g-707,clusters_df_c,g-138,c_all_min,df_g-698,clusters_g,df_g-697,df_g-80,df_g-553,df_g-658,df_c-8,g-143,df_g-28,g-308,d_g-592,g-161,df_g-417,df_g-241,d_g-558,cp_time,df_g-485,df_g-16,df_g-118,clusters_df_c,g-34,d_g-684,clusters_df_c,df_g-241,g-595,c-94,g-31,df_g-247,d_g-454,df_g-707,df_g-561,df_g-149,df_g-325,df_g-469,df_g-562,g-372,df_g-605,d_g-19,df_g-13,cp_dose,cp_dose,g-470,df_g-115,clusters_df_c,clusters_d_g,df_g-499,clusters_d_g,df_g-232,g-372,d_g-165,df_g-758,df_g-278,df_g-655,c_all_max,g-764,c_all_kurt,c-1,df_g-655,d_g-112,df_g-714,cp_dose,df_g-48,df_g-15,df_g-558,df_g-596,clusters_c,df_g-737,clusters_c_all,g-689,df_g-550,df_g-719,df_c-96,df_g-656,df_c_kurt_skew,d_g-627,df_g-753,cnt_3,df_g-624,g-136,cp_time,df_g-393,df_g-712,df_g-698,df_g-404,df_c-2,df_g-758,g-358,df_g-538,df_g-302,cp_dose,g-564
g-131,clusters_df_c,g-465,df_g-88,df_g-401,df_g-483,g-635,df_g-483,df_g-400,df_g-554,df_c-97,g-394,df_c-2,df_c-93,df_g-697,df_g-473,c-83,df_g-465,df_g-521,df_g-516,df_g-81,g-456,cp_dose,clusters_d_g,clusters_g_all,g-358,g-83,clusters_g,g-638,g-706,df_g-633,d_g-119,df_g-629,clusters_g,df_g-129,df_g-756,d_g-570,d_g-454,g-326,d_g-641,d_g-584,d_g-165,df_g-399,df_g-26,df_g-84,g-612,df_c_min,df_g-48,df_g-370,df_g-44,d_g-46,df_g-536,df_g-452,df_g-538,df_g_max,df_g-415,g-522,g-369,g-477,df_g-184,g-438,c_all_max,clusters_g,g-231,df_g-278,g-537,g-70,df_g-487,cp_dose,d_g-558,df_g-438,cp_time,df_g-623,df_g-110,df_g-446,df_g-633,df_g-664,clusters_c_all,clusters_d_g,df_g-348,df_g-474,df_g-54,d_g-161,g-176,g-107,g-438,df_g-664,clusters_c_all,df_g-342,g-394,g-155,g-399,df_c-62,df_c-78,df_c-76,df_g_max_min,df_g-499,df_g-680,df_g-339,clusters_df_g,df_g-287,df_g-401
d_g-627,df_g-566,g-602,df_g-335,g-97,g-462,c-0,df_g-309,df_g-247,c-85,g-660,cnt_2,df_g-560,d_g-478,df_g-350,df_g-89,g-226,df_g-303,g-558,cp_time,g-226,df_g-716,g-323,cnt_0,g-603,df_g-715,g-249,clusters_df_c,g-465,g-36,c_all_max,d_g-572,g-123,df_g-3,g-660,df_g_max_skew,d_g-19,df_c-76,d_g-125,df_c-29,df_g-679,clusters_df_c,clusters_df_c,g-514,df_g-542,df_g-765,clusters_c_all,df_c-6,df_g-555,df_g-602,df_g-714,df_g-647,g-711,df_g-314,g-569,df_g-263,df_g-378,df_g-182,clusters_d_g,g-33,df_g-330,df_g-623,g-170,g-183,c_all_min,df_c-17,df_g_max_min,cnt_1,d_g-584,df_c-59,df_g_max,clusters_g_all,df_g-465,g-304,df_g-541,df_g-261,g-737,df_g-663,c_all_max,g-234,df_c_kurt_skew,df_g-623,df_g-256,df_g-671,df_g-678,g-226,df_c-93,g-646,df_g-542,g-555,d_g-159,df_g-549,df_g-657,g-270,clusters_d_c,g-338,cp_dose,df_g-425,clusters_g,df_g-718,g-276,df_g-258
d_g-707,df_g-451,g-426,cnt_2,d_g_sum,c-16,g-433,g-428,d_g-6,clusters_c,df_g-415,df_g-284,d_g-527,df_g-314,df_c_min,g-105,g-732,cp_time,cp_dose,g-498,df_g-209,df_g-111,df_g-263,df_g-523,g-108,g-53,d_g_sum,c-39,df_g-473,g-310,g-513,df_g-46,d_g-282,g-306,df_g-5,df_g-527,df_c-94,g-663,d_g-718,df_g-548,df_g-413,g-166,df_g-421,df_g-243,df_g-171,df_g-688,df_g-601,g-558,clusters_df_c,g-137,df_g-3,df_g-707,clusters_c,df_g-731,df_g-370,g-571,df_g-278,df_g-707,cnt_2,df_c_min,df_c-87,c-30,c_all_min,d_g-641,g-643,df_g-109,df_g-618,df_g-404,g-456,g-711,g-719,df_g-347,df_g-420,g-310,df_g-665,df_c_median,df_g-17,df_g-696,df_g-275,g-571,g-653,d_g-221,g-534,clusters_df_g,df_g-654,df_c_min,d_g-684,df_g-757,df_g-637,g-316,df_g-549,g-708,df_g-608,df_g-599,cnt_2,clusters_g_all,d_g-572,df_g-232,g-242,df_g-148,df_g-18,df_g-406
g-226,g-218,clusters_g,df_g-229,df_g-548,df_g-582,d_g-333,c_all_max,d_c_kurt,df_g-433,df_c-75,clusters_g_all,clusters_c,df_g-71,df_c-97,df_g-200,d_g-401,d_c_max,g-553,g-669,clusters_d_g,g-276,d_g-74,g-264,df_g-187,g-31,df_g-331,df_g-335,g-530,df_g-81,df_g-387,g-705,d_g-345,clusters_d_g,g-41,d_g-558,c_all_max,df_g-723,c-68,g-65,g-681,g-316,df_g-122,g-732,df_g-31,df_c_min,c_all_max,g-375,cp_time,df_g-256,d_g-124,df_g-554,g-314,df_g-766,d_g-312,df_g-171,g-465,g-597,df_g-163,cp_time,d_c_kurt,df_g-541,g-156,cnt_2,cnt_2,d_g-312,c-45,df_g-740,df_g-593,df_g-103,g-10,df_g-26,g-576,d_g-153,d_g-541,df_c-62,d_g-645,df_g_max_min,clusters_g_all,df_g-232,g-624,df_g-480,g-531,cnt_2,df_g-766,g-108,df_g-104,df_c-68,g-350,d_g-316,df_g-602,df_g-584,df_g-89,g-451,g-143,d_g-159,clusters_g_all,df_g-179,g-725,df_g-131,g-421,d_g-584
